Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Audit ID,Department,Region,Control Score,Compliance Status,Auditor Name,Audit Date,Violations Count
Financial Control,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Security Value,Compliance Data,Enforce Segregation of Duties,8b821d50-2f31-47a0-b18d-d45aae304e02,HR,APAC,65.52,Non-Compliant,Jonathan Roach,2025-10-03,1
Financial Control,Control Management,Internal Audit and Controls,Assess Risk Controls,Security Value,Control Data,Review Findings,d427ab4b-9078-4282-ad96-7ba0925c5d7e,Finance,Americas,68.72,Non-Compliant,Ashley Johnson,2025-02-11,7
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Audit Data,Enforce Segregation of Duties,a76eb731-af46-4158-b4c4-e5ed7542fe89,Compliance,EMEA,50.73,Escalated,Cesar Collins,2025-02-10,8
Financial Control,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Review Findings,666e5214-cc8b-4e88-bb88-41cc8b399290,IT,APAC,55.88,Compliant,Joshua Chase,2025-07-16,6
Operational Risk,Control Management,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Audit Data,Assess Controls,c08e30d7-47f1-42bb-a8d3-7f9aaf33fa70,Operations,EMEA,51.43,Compliant,Victoria Gonzales,2025-07-12,10
Financial Control,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Review Findings,8d99bcae-5545-4589-9e5e-341a1c0b8dc4,Compliance,APAC,89.49,Non-Compliant,Brian Rivera,2025-07-25,5
Risk Management,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Security Value,Control Data,Review Findings,e71e776b-8be7-4eb9-a57d-bdbd6b90cbca,Finance,EMEA,71.08,Non-Compliant,Angela Price,2025-05-07,1
Financial Control,Internal Audit Operations,Audit Reporting,Review Audit Findings,Compliance Oversight,Compliance Data,Assess Controls,29751b25-5cc3-42f1-9ba8-49d862113740,IT,EMEA,86.7,Pending Review,Marissa Webster,2025-01-03,9
Operational Risk,Internal Audit Operations,Audit Reporting,Assess Risk Controls,Monitor,Compliance Data,Enforce Segregation of Duties,f276be8a-924d-4b09-8498-14d5b7286a01,IT,Americas,92.94,Pending Review,Brooke Jackson,2025-04-09,8
Operational Risk,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Monitor,Audit Data,Assess Controls,a2c515e1-5b57-42f9-9ca0-2904cf569381,Operations,Americas,91.93,Escalated,Catherine Hicks,2025-09-02,6
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Control Data,Review Findings,143dfb87-aeb3-4493-86a6-e5359d227244,Finance,EMEA,99.66,Escalated,Nathan Williamson,2025-08-13,2
Financial Control,Internal Audit Operations,Audit Reporting,Review Audit Findings,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,d8078d52-ffbd-412a-9d9b-ad642db0af43,Finance,Americas,94.11,Escalated,Samantha Fernandez,2025-07-22,3
Risk Management,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Monitor,Audit Data,Assess Controls,df39f2cb-ba1a-410a-a79f-73de27c2af94,Operations,EMEA,79.47,Non-Compliant,Claudia Mason,2025-07-15,3
Operational Risk,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Control Data,Review Findings,791c8458-1943-47cb-b3bd-d8bb162469bc,HR,EMEA,78.35,Compliant,Andrea Brown,2025-05-26,8
Financial Control,Control Management,Control Monitoring,Review Audit Findings,Security Value,Compliance Data,Review Findings,4e48f8ff-7e1a-4209-832e-0178d9c9a126,Operations,APAC,82.07,Compliant,David Strickland,2025-01-14,1
Financial Control,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Control Data,Enforce Segregation of Duties,0be7b797-f7bf-4c82-9acd-4f726c8b11d1,IT,EMEA,55.12,Pending Review,Danielle Dougherty,2025-02-21,3
Financial Control,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Audit Data,Assess Controls,9e7eaeaf-578b-4cc2-b859-3a773238fcc7,IT,EMEA,67.05,Pending Review,Chad Rose,2025-09-25,2
Risk Management,Internal Audit Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Audit Data,Review Findings,2cc8cdb2-b33f-4526-8ab2-7f41c70dbebd,HR,Americas,51.58,Pending Review,William Alvarez,2025-05-07,2
Financial Control,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Control Data,Review Findings,0d665890-b908-456d-bf98-6186462291d4,Operations,APAC,60.84,Non-Compliant,Kristina Garcia,2025-03-08,9
Operational Risk,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Compliance Data,Review Findings,6ddcb0a4-d3a3-461b-a3a3-dbbcd30f6eb2,IT,EMEA,73.93,Pending Review,Gregory Dennis,2025-07-05,7
Financial Control,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Security Value,Control Data,Enforce Segregation of Duties,30f061c3-1ce2-44de-be26-f93d04ddcbb4,Finance,Americas,63.22,Escalated,Jamie Benjamin,2025-04-11,0
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,aff8d1ff-b11d-4621-982b-356d58cf755c,Finance,EMEA,62.1,Compliant,Antonio Miller,2025-10-05,0
Risk Management,Control Management,Internal Audit and Controls,Review Audit Findings,Monitor,Audit Data,Enforce Segregation of Duties,2a454132-7d27-4215-ab07-54d5336ff690,IT,APAC,75.61,Non-Compliant,Mary Taylor MD,2025-07-01,8
Risk Management,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Compliance Data,Assess Controls,f2163691-bbac-4f15-83c6-2f68b776bde0,IT,Americas,55.59,Compliant,Christian Wilson,2025-08-18,1
Risk Management,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Compliance Data,Assess Controls,b0edcdf2-d7b8-4ba5-b9d9-3e4234a8904a,IT,EMEA,71.51,Compliant,Pamela Jimenez,2025-07-14,5
Operational Risk,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Audit Data,Assess Controls,1005f54a-efa2-4d45-8cd0-3dee48c5d8a6,Compliance,APAC,79.23,Non-Compliant,Amanda Robertson,2025-05-30,6
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Audit Data,Enforce Segregation of Duties,3bd23ca7-8dff-44aa-ad83-699f819c75e8,Compliance,APAC,56.98,Compliant,David Lozano,2025-03-23,1
Financial Control,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Control Data,Review Findings,23f65a92-264c-4a1d-8356-e76745a9a55d,Finance,APAC,56.91,Non-Compliant,Lori Martin,2025-05-05,6
Risk Management,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Compliance Data,Enforce Segregation of Duties,2f5663a8-2410-4020-8dfc-50be09204e95,HR,EMEA,50.98,Escalated,John Barnett,2025-01-29,10
Risk Management,Internal Audit Operations,Audit Reporting,Assess Risk Controls,Monitor,Control Data,Enforce Segregation of Duties,a3b7a90c-71f7-4639-8f97-14ac5f3bda24,IT,Americas,70.43,Escalated,Timothy Scott,2025-01-21,5
Financial Control,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Security Value,Audit Data,Review Findings,cc2b1300-d02f-44e7-b8c4-643c06351aab,Finance,APAC,79.43,Non-Compliant,Jody Anderson,2025-03-27,7
Operational Risk,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Compliance Oversight,Compliance Data,Assess Controls,cf3a6f78-84dc-47c7-be4b-1660644358fd,Compliance,Americas,97.22,Non-Compliant,Ashley Taylor,2025-04-29,9
Operational Risk,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Review Findings,212e1838-cc23-421f-af2b-d355d4ba758d,Operations,Americas,68.98,Compliant,Connie Mcbride,2025-02-13,9
Operational Risk,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Review Findings,be20e830-15e8-4f58-a38c-134c2c97d697,Finance,Americas,63.28,Non-Compliant,Devon Robinson MD,2025-02-06,7
Operational Risk,Control Management,Audit Reporting,Review Audit Findings,Security Value,Audit Data,Enforce Segregation of Duties,aea17b50-8062-46c7-bb68-ab2d8ba11453,IT,Americas,53.66,Non-Compliant,Mrs. Jennifer Lane,2025-02-01,3
Operational Risk,Internal Audit Operations,Audit Reporting,Review Audit Findings,Compliance Oversight,Control Data,Assess Controls,41b03c70-6598-4355-a639-1e1039cf8528,IT,Americas,98.94,Escalated,Raymond Moore,2025-05-15,3
Financial Control,Internal Audit Operations,Control Monitoring,Review Audit Findings,Monitor,Compliance Data,Assess Controls,c7ac3f65-61ed-40dc-978d-671b7f8fe877,Operations,EMEA,65.96,Escalated,Jennifer Preston,2025-05-28,7
Financial Control,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Audit Data,Enforce Segregation of Duties,ecb13aa3-75bb-431b-958c-2c43870ef836,Finance,EMEA,91.09,Escalated,Katrina Fernandez,2025-03-01,5
Operational Risk,Control Management,Internal Audit and Controls,Review Audit Findings,Security Value,Compliance Data,Assess Controls,09a5e01d-de68-4021-af78-8dce94f99268,HR,APAC,86.93,Pending Review,Devin Bass,2025-03-10,1
Risk Management,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Monitor,Control Data,Assess Controls,01403791-8a4a-4fd9-99d8-294246a04fcb,Operations,APAC,75.78,Escalated,Chelsea Hayden,2025-10-07,5
Operational Risk,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Monitor,Compliance Data,Review Findings,f7cdccd7-5662-4538-ab23-7cc3f47f9dc3,Finance,APAC,63.47,Non-Compliant,Andrew White,2025-06-15,8
Operational Risk,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Monitor,Control Data,Assess Controls,3779ab88-5c73-4db7-8dd7-67d72eb14883,Operations,Americas,79.98,Compliant,John Garza,2025-10-13,7
Financial Control,Control Management,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Audit Data,Review Findings,c4644bf8-cccf-4119-ba5b-c33ce4ac3f49,HR,APAC,72.77,Escalated,Amy Mcguire,2025-06-10,8
Operational Risk,Control Management,Audit Reporting,Review Audit Findings,Security Value,Control Data,Assess Controls,9ce4bd5f-6bc7-4dff-85bd-950ac696da59,Operations,Americas,97.74,Escalated,Janice Williams,2025-05-17,1
Risk Management,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Compliance Data,Enforce Segregation of Duties,e016aa39-62ae-4056-a540-3d7bdd60ea6d,HR,Americas,60.24,Non-Compliant,Jack Bridges,2025-09-30,3
Operational Risk,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Control Data,Enforce Segregation of Duties,48f82012-8d18-48f5-b599-d90e9673b7c6,Finance,APAC,56.84,Non-Compliant,John Jackson,2025-09-05,10
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Compliance Data,Assess Controls,6b41b578-4df4-4845-a31e-e039f3d99682,Operations,EMEA,89.8,Compliant,Sarah Bauer,2025-01-11,7
Financial Control,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Monitor,Audit Data,Review Findings,b3d4fa20-74ca-4fd5-a62c-a6868bf79dcb,IT,EMEA,71.03,Compliant,Megan Brown,2025-05-17,7
Operational Risk,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Compliance Data,Enforce Segregation of Duties,977b5d81-ca26-43fa-99d1-a5079e8e4d6c,Finance,APAC,80.83,Escalated,Nicholas Young DDS,2025-06-28,0
Operational Risk,Control Management,Audit Reporting,Assess Risk Controls,Security Value,Compliance Data,Assess Controls,d11abfd7-f679-40e9-8698-f09eefa00a19,Operations,APAC,87.09,Compliant,Casey Shelton,2025-04-29,9
Financial Control,Internal Audit Operations,Control Monitoring,Review Audit Findings,Security Value,Audit Data,Assess Controls,6cf7f914-de11-4cf8-b041-845a94a1f636,HR,Americas,64.17,Non-Compliant,Amy Brown,2025-03-20,5
Financial Control,Control Management,Control Monitoring,Review Audit Findings,Compliance Oversight,Audit Data,Enforce Segregation of Duties,f9579f61-9c77-4ee2-996c-5026e35aa911,IT,APAC,93.33,Pending Review,Paul Dickerson,2025-06-10,3
Risk Management,Control Management,Audit Reporting,Review Audit Findings,Compliance Oversight,Compliance Data,Review Findings,98aada48-784a-43ef-8bcd-143ed7e9e04f,HR,EMEA,98.72,Compliant,Jose Cochran,2025-09-19,0
Operational Risk,Internal Audit Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Control Data,Enforce Segregation of Duties,16d6b9c3-cb0e-460e-82b1-406d460cbb72,IT,EMEA,72.92,Escalated,Stephen Roach,2025-09-24,8
Risk Management,Control Management,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Control Data,Assess Controls,2bd4d126-5e80-4031-9ddf-2293c6de761e,HR,APAC,82.23,Pending Review,Andrea Hall,2025-01-14,9
Operational Risk,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,71b8419b-6092-41ec-a065-04500c236d32,HR,Americas,98.29,Pending Review,Karen Jones,2025-05-04,10
Financial Control,Control Management,Audit Reporting,Review Audit Findings,Monitor,Compliance Data,Review Findings,fc2776d5-8e22-497f-a079-26beb0ee16e1,HR,APAC,62.8,Pending Review,Lauren Jacobson,2025-07-01,7
Operational Risk,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Security Value,Compliance Data,Review Findings,9cc7a5ad-363f-4d42-9d7d-79f8c4f882f9,HR,APAC,97.36,Compliant,Steven Peterson,2025-09-10,2
Operational Risk,Control Management,Audit Reporting,Enforce Segregation of Duties,Security Value,Control Data,Enforce Segregation of Duties,b79bd9d0-28d1-41ca-9adf-04f05a1da9a5,Finance,EMEA,97.25,Non-Compliant,Mary Robinson,2025-01-23,0
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Control Data,Enforce Segregation of Duties,bb76b680-1145-4bf2-9c2c-b84b07ec91b3,IT,Americas,61.03,Pending Review,Patricia Li,2025-03-28,7
Operational Risk,Control Management,Control Monitoring,Review Audit Findings,Compliance Oversight,Compliance Data,Assess Controls,dff8f6e1-379d-418b-851f-09211b33d0ff,HR,Americas,62.76,Pending Review,Karen Riley,2025-06-18,5
Financial Control,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Audit Data,Assess Controls,3f370fe3-9c95-4a79-b18b-a193a424c7cb,HR,Americas,70.11,Pending Review,Jocelyn Adams,2025-03-10,2
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Monitor,Compliance Data,Review Findings,dbee12df-146e-40e0-8195-0f6f62e7e0a1,Finance,APAC,60.82,Non-Compliant,Sydney Hanson,2025-04-30,7
Risk Management,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Monitor,Control Data,Assess Controls,041c8620-e642-4a58-9d90-5bf519502cd1,Finance,Americas,58.3,Compliant,Autumn Hunter,2025-02-16,5
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,34caf8a9-5b7c-43e8-a664-565fc3d9bfe5,Compliance,EMEA,52.38,Escalated,Jenna Brennan,2025-06-07,8
Operational Risk,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Monitor,Compliance Data,Enforce Segregation of Duties,2f544896-6ea9-4276-ad12-5dc5d4cb855c,Operations,Americas,72.46,Escalated,Stacey Fernandez,2025-05-09,2
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Compliance Data,Review Findings,63e15dd8-4ab3-4ebe-ad16-39482803e680,Operations,APAC,88.56,Escalated,Christopher Petersen,2025-02-24,8
Financial Control,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Monitor,Control Data,Review Findings,185f4849-bced-433e-85f9-206124cc9b19,Compliance,Americas,78.17,Compliant,Jeanne Burnett,2025-01-12,4
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Audit Data,Assess Controls,f555f447-6a6d-4815-8894-995e9315eb10,HR,Americas,56.63,Escalated,Jessica Duncan,2025-07-04,10
Financial Control,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Audit Data,Enforce Segregation of Duties,ef087c7b-e9de-4bb5-8f53-f8e31b202a0c,Operations,Americas,83.74,Escalated,Debbie Allison,2025-04-24,6
Operational Risk,Control Management,Internal Audit and Controls,Review Audit Findings,Security Value,Compliance Data,Review Findings,2ab09ce9-5e42-4906-92a7-dc657d7cb428,HR,EMEA,59.9,Escalated,Sean Wright,2025-07-29,6
Operational Risk,Control Management,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Enforce Segregation of Duties,baaf2164-a7c7-499e-b3a9-6692fde08eae,Finance,APAC,65.87,Escalated,Carolyn Randall,2025-04-25,10
Risk Management,Internal Audit Operations,Audit Reporting,Assess Risk Controls,Security Value,Control Data,Enforce Segregation of Duties,06f4efba-d6ee-49f6-a982-4e1ab9c642e9,Compliance,EMEA,88.37,Compliant,Michael Brooks,2025-08-28,3
Financial Control,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Control Data,Enforce Segregation of Duties,a8c973cd-b18f-4893-aae2-2793c2371b95,HR,APAC,70.46,Escalated,Anthony Flores,2025-04-12,7
Financial Control,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Security Value,Control Data,Assess Controls,9b01b2d0-ea46-4d5d-93b4-2455e72a57d5,IT,EMEA,90.25,Non-Compliant,Michael Henson,2025-07-04,4
Financial Control,Internal Audit Operations,Control Monitoring,Review Audit Findings,Security Value,Control Data,Enforce Segregation of Duties,1f7c319d-fa46-4e21-99ec-d9b208efa427,Operations,EMEA,64.1,Escalated,Luis Scott,2025-08-26,8
Risk Management,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Monitor,Compliance Data,Review Findings,95a4fe70-af71-469a-b86b-58e73c72e6d4,IT,EMEA,67.64,Escalated,Patty Zuniga,2025-05-12,9
Financial Control,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Control Data,Assess Controls,0e67bc67-2beb-4967-8e3f-e32abe472c53,IT,EMEA,84.58,Escalated,Tyler Rodriguez,2025-05-26,4
Operational Risk,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Security Value,Compliance Data,Assess Controls,cb41c198-a20a-464f-9bbf-75149ecbb2a1,IT,EMEA,79.9,Non-Compliant,Timothy Green,2025-05-19,5
Operational Risk,Internal Audit Operations,Control Monitoring,Review Audit Findings,Monitor,Compliance Data,Assess Controls,3139642b-4c10-44bd-a685-f035bda43102,Operations,Americas,60.11,Compliant,Brittany Nelson,2025-08-04,3
Risk Management,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Control Data,Review Findings,de1a2815-d3f9-4a22-b334-6a3e57913e20,IT,Americas,92.9,Non-Compliant,Cynthia Williams,2025-09-24,0
Financial Control,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Assess Controls,0f73564a-4c96-4fc4-89b9-73a798011087,Finance,EMEA,84.94,Non-Compliant,Hannah Cooper,2025-01-05,5
Risk Management,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Security Value,Compliance Data,Assess Controls,d7daae8a-1f0d-40f2-8481-070399eb2c92,IT,APAC,66.68,Pending Review,Jane Moore,2025-03-26,6
Financial Control,Control Management,Control Monitoring,Enforce Segregation of Duties,Security Value,Control Data,Enforce Segregation of Duties,bb250a58-cef1-4880-84d6-2d5370970e40,Operations,Americas,54.38,Compliant,Ryan Fields,2025-08-03,6
Financial Control,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Control Data,Enforce Segregation of Duties,049aa8e5-76c8-41f0-a833-2b62e858167b,IT,Americas,54.15,Pending Review,Crystal Donaldson,2025-07-22,2
Financial Control,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Audit Data,Assess Controls,b1c59ba9-72cf-46a3-ba5b-cdf81b601835,Compliance,APAC,62.39,Escalated,John Johnson,2025-09-21,0
Risk Management,Control Management,Audit Reporting,Assess Risk Controls,Compliance Oversight,Control Data,Enforce Segregation of Duties,dbdd205b-1937-4cda-81fe-85c261481bdb,Finance,APAC,96.86,Pending Review,Ashley Lam,2025-06-26,1
Operational Risk,Control Management,Internal Audit and Controls,Assess Risk Controls,Security Value,Audit Data,Review Findings,9ac741fb-14e3-4d08-836a-0d146a90cf75,Operations,Americas,62.47,Pending Review,Francis Newman,2025-06-03,4
Financial Control,Internal Audit Operations,Audit Reporting,Review Audit Findings,Compliance Oversight,Compliance Data,Assess Controls,e62475f5-5023-4810-bfa1-9801576992c6,HR,APAC,97.18,Escalated,Richard Mendoza,2025-03-05,3
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,d01439ce-84b9-473f-94c9-370e09688372,Compliance,APAC,74.95,Escalated,Julia Vincent,2025-03-20,7
Risk Management,Internal Audit Operations,Control Monitoring,Review Audit Findings,Monitor,Audit Data,Assess Controls,43e26b01-3b90-44bc-8d56-76168a275ccb,Operations,Americas,52.36,Compliant,Lauren Morton,2025-03-23,4
Financial Control,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Monitor,Compliance Data,Review Findings,0f64016a-5676-4ff9-aefb-d9e7fc811073,Operations,EMEA,82.83,Escalated,Daniel Mason,2025-06-26,8
Operational Risk,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Control Data,Assess Controls,73897ac1-a4df-4347-a272-b9255d3262e4,Finance,Americas,99.07,Compliant,David Herrera,2025-07-22,2
Risk Management,Internal Audit Operations,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Assess Controls,121621e7-71a4-4b28-95c1-67a6e58f52bc,Finance,Americas,94.28,Escalated,Anthony Holmes,2025-03-13,2
Financial Control,Internal Audit Operations,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Review Findings,fd18ef5b-a72f-4f19-a572-0c8e4df6d319,Operations,Americas,82.55,Pending Review,Kyle Miller,2025-09-17,6
Operational Risk,Control Management,Internal Audit and Controls,Review Audit Findings,Security Value,Control Data,Assess Controls,8744b8fa-7d33-40cb-a6cc-e3d3743ee834,Operations,EMEA,65.75,Escalated,Destiny Alvarez,2025-08-13,2
Operational Risk,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Compliance Oversight,Control Data,Enforce Segregation of Duties,e7582a6f-9c23-4db8-b022-5dfdf4ee01fb,Operations,EMEA,69.13,Pending Review,Shawna Holder,2025-06-15,9
Operational Risk,Control Management,Audit Reporting,Review Audit Findings,Security Value,Audit Data,Enforce Segregation of Duties,07a80c77-76c5-4f4c-a631-2810da48a805,IT,EMEA,64.61,Non-Compliant,Connie Allen,2025-05-27,8
Operational Risk,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Monitor,Audit Data,Review Findings,c404edd7-fba3-4c4e-b71a-fe877cecad2c,Compliance,Americas,77.72,Compliant,Brandi Dennis,2025-04-07,9
Risk Management,Internal Audit Operations,Audit Reporting,Assess Risk Controls,Security Value,Control Data,Assess Controls,16bff31c-c7b5-4071-a96e-c3e42594f791,Compliance,Americas,60.42,Compliant,Chelsea Schmidt,2025-01-31,3
Risk Management,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Compliance Oversight,Compliance Data,Assess Controls,6dfaf1d7-c91b-47f0-9b56-bd566ba9d55b,Operations,Americas,85.07,Non-Compliant,Katelyn Keller,2025-04-29,3
Risk Management,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Audit Data,Assess Controls,0302a569-8d00-4232-a2da-144fda182a33,Operations,Americas,79.2,Pending Review,Joshua Harris,2025-01-29,1
Risk Management,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Monitor,Compliance Data,Enforce Segregation of Duties,03fa94cb-9f90-455a-9823-e251c44264f6,Operations,EMEA,85.8,Escalated,Robert Graham,2025-02-19,4
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Control Data,Assess Controls,89b15c66-187a-44bd-bcff-1c32bc47b345,Operations,APAC,92.67,Escalated,Thomas Robinson,2025-04-14,7
Risk Management,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Compliance Data,Assess Controls,696e4d06-8bb8-4cc6-bb0a-b7e9a4ca489c,Finance,APAC,74.74,Non-Compliant,Jessica Jones,2025-07-16,0
Operational Risk,Control Management,Control Monitoring,Assess Risk Controls,Compliance Oversight,Compliance Data,Assess Controls,f96f8d01-3cf4-4005-b711-52f5d4d5ac9c,Operations,EMEA,90.24,Compliant,Peter Taylor,2025-10-10,3
Operational Risk,Control Management,Audit Reporting,Enforce Segregation of Duties,Monitor,Compliance Data,Review Findings,8e860b2f-1ade-4386-a249-3fd2a4d38be3,Operations,EMEA,79.08,Compliant,Christopher Wilkerson,2025-01-05,1
Risk Management,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Security Value,Audit Data,Enforce Segregation of Duties,50abc665-b4cc-4703-be1b-dc1249b1c6b8,Compliance,Americas,60.08,Compliant,David Jackson,2025-09-16,6
Financial Control,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Compliance Data,Assess Controls,e6a8c766-fc35-47e6-be83-9d0cb9ba8c85,HR,Americas,91.7,Escalated,Sharon Peters,2025-02-08,9
Risk Management,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Review Findings,22046354-7f5c-4acb-bde0-de0d4f714086,Finance,Americas,93.07,Compliant,Kathleen Gonzalez,2025-06-30,7
Financial Control,Control Management,Internal Audit and Controls,Review Audit Findings,Monitor,Audit Data,Enforce Segregation of Duties,20e5a8f2-ecd4-4db3-8ed6-201a0a36ac00,Compliance,EMEA,77.49,Pending Review,Juan Garcia,2025-01-23,6
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Security Value,Control Data,Assess Controls,ba91cf4a-e686-4c62-9a11-563786e7a9b1,Finance,Americas,77.81,Pending Review,Lucas Tanner,2025-04-06,10
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,cc54a04a-1264-40aa-aa6a-dd036a49f142,IT,EMEA,69.01,Escalated,Nicholas Chavez,2025-07-05,1
Risk Management,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Monitor,Compliance Data,Assess Controls,edce315e-0595-4b18-a76e-48b775a17668,HR,EMEA,69.9,Pending Review,Tammy Heath,2025-07-03,9
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Compliance Data,Review Findings,5dc1f5c2-4699-4db8-bd44-4ba1e3637050,HR,Americas,91.77,Non-Compliant,Brittany Beard,2025-06-17,1
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Control Data,Assess Controls,a58bcb64-b677-44b2-8935-532f5342bd61,IT,APAC,95.38,Compliant,Breanna Galvan,2025-02-13,9
