Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Report ID,Department,Region,Report Status,Submission Date,Reviewer Name,Compliance Score,Remarks
Risk Management,Risk and Compliance Operations,Reporting Compliance,Prepare Regulatory Reports,Compliance,Compliance Data,Validate Submissions,03048d15-1095-4db7-a31f-53daba838a55,Finance,EMEA,Rejected,2025-02-01,Christian English,91.81,Its develop pass worry explain successful hundred.
Regulatory Oversight,Compliance Governance,Regulatory Compliance,Submit Compliance Filings,Governance,Regulatory Data,Validate Submissions,07644d75-e1d9-415e-8d61-7972befca0b9,Legal,APAC,Approved,2025-05-13,Jamie Hart,75.9,Couple three play change for.
Operational Risk,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Governance,Regulatory Data,Prepare Regulatory Reports,62ccf8ec-7081-4676-89df-1ea4706b090b,Operations,Americas,In Review,2025-09-19,Adrienne Romero,87.01,Increase dream detail leave thought half.
Operational Risk,Regulatory Affairs,Regulatory Compliance,Audit Regulatory Processes,Compliance,Regulatory Data,Prepare Regulatory Reports,b1c4aab0-f5aa-48d4-86e8-b4fb7885a25d,Compliance,Americas,Submitted,2025-08-19,Rachel Gutierrez,94.87,Simply pretty bill trouble eat hold street.
Risk Management,Risk and Compliance Operations,Compliance Monitoring,Submit Compliance Filings,Compliance,Regulatory Data,Prepare Regulatory Reports,9df956be-d4ad-45de-8419-d39754f8009a,Legal,Americas,Rejected,2025-08-03,Christian Hamilton,83.63,Campaign service sell reduce discuss country network.
Risk Management,Risk and Compliance Operations,Regulatory Compliance,Submit Compliance Filings,Transparency,Audit Data,Review Compliance Reports,c6557922-98ba-4bf0-a0de-ba2de9b98e65,Legal,Americas,Approved,2025-06-22,Anthony Spencer,75.28,Just our though report stay step southern number.
Operational Risk,Regulatory Affairs,Reporting Compliance,Audit Regulatory Processes,Governance,Audit Data,Review Compliance Reports,d4cd8eef-0658-43c6-93da-afc0b64506a0,Operations,EMEA,Approved,2025-04-15,Richard Sanchez,77.67,Wide whole since group head factor.
Regulatory Oversight,Compliance Governance,Reporting Compliance,Prepare Regulatory Reports,Governance,Compliance Data,Prepare Regulatory Reports,6d5bcffa-737b-4358-b05d-dcda280fec25,Operations,EMEA,In Review,2025-04-14,Jeffery Galvan,81.52,With check memory easy.
Operational Risk,Risk and Compliance Operations,Regulatory Compliance,Submit Compliance Filings,Governance,Audit Data,Validate Submissions,5b7f2017-02d8-4979-8d2f-2c9109bd44fb,Legal,Americas,Submitted,2025-04-04,Kathryn Taylor,74.52,Good board own condition million.
Operational Risk,Regulatory Affairs,Reporting Compliance,Prepare Regulatory Reports,Governance,Regulatory Data,Validate Submissions,c7655360-56a1-47ce-9b0e-2bbd81740a65,Compliance,APAC,Pending,2025-06-20,Elizabeth Thomas,87.46,Trial pay show condition.
Risk Management,Compliance Governance,Compliance Monitoring,Audit Regulatory Processes,Transparency,Compliance Data,Review Compliance Reports,a3076df3-d920-4453-987e-171758faddc2,Finance,APAC,Pending,2025-07-12,Suzanne Ortiz,73.45,Gun pressure inside.
Regulatory Oversight,Regulatory Affairs,Compliance Monitoring,Submit Compliance Filings,Governance,Regulatory Data,Validate Submissions,6112a54e-8161-4052-ae0e-cfd5259f41b7,Finance,Americas,Rejected,2025-09-10,Joseph Stone,81.12,Opportunity husband common continue themselves analysis.
Regulatory Oversight,Regulatory Affairs,Regulatory Compliance,Prepare Regulatory Reports,Governance,Audit Data,Review Compliance Reports,69bdc8ad-3c92-46a9-97f2-133d73c463a0,Finance,EMEA,In Review,2025-08-07,Kyle Reese,74.56,Help others particularly choice.
Operational Risk,Compliance Governance,Regulatory Compliance,Prepare Regulatory Reports,Compliance,Audit Data,Validate Submissions,8decc1ec-874e-4e37-9584-539371aee244,Legal,EMEA,Pending,2025-05-11,Bryan Harris,90.98,Heart Mrs stage.
Operational Risk,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Compliance,Regulatory Data,Validate Submissions,293977cd-fff1-416c-99e3-29b48b9b70ed,Compliance,EMEA,Pending,2025-10-05,Deanna Chambers,81.02,Get conference house.
Risk Management,Regulatory Affairs,Reporting Compliance,Prepare Regulatory Reports,Governance,Regulatory Data,Validate Submissions,1f8be124-83fc-4d48-936b-816a64546fa4,Operations,EMEA,Approved,2025-08-23,Nancy Butler,74.52,As whose season industry most usually item.
Risk Management,Risk and Compliance Operations,Regulatory Compliance,Submit Compliance Filings,Compliance,Compliance Data,Validate Submissions,346d4c19-3441-4bd0-b9df-e3b1d06cfa59,Finance,EMEA,Submitted,2025-06-15,Tina Cox,71.42,General safe product artist manager hold yeah keep.
Operational Risk,Risk and Compliance Operations,Reporting Compliance,Submit Compliance Filings,Governance,Compliance Data,Prepare Regulatory Reports,458ca0c1-860a-4102-b921-a4517ee60259,Compliance,Americas,Rejected,2025-02-03,Robert Rose,94.61,Main usually himself tax worry small own.
Risk Management,Compliance Governance,Regulatory Compliance,Submit Compliance Filings,Compliance,Audit Data,Review Compliance Reports,d6760573-f9ac-4eeb-8fee-2b04e0e2c6ee,Legal,Americas,Pending,2025-03-10,Heidi Vance,77.94,Cause know friend seem culture pass town.
Risk Management,Compliance Governance,Reporting Compliance,Prepare Regulatory Reports,Governance,Audit Data,Review Compliance Reports,e7c7253b-b3a0-4c17-81e2-d87dfb6c2919,Compliance,APAC,Approved,2025-01-26,Nicholas Robertson,84.98,Tax arm condition floor world.
Risk Management,Regulatory Affairs,Reporting Compliance,Audit Regulatory Processes,Governance,Audit Data,Validate Submissions,b97e5796-f4eb-4f2f-bff8-2eef41c18f81,Finance,APAC,Submitted,2025-05-27,Courtney Rios,84.77,Owner sit senior close.
Operational Risk,Regulatory Affairs,Compliance Monitoring,Audit Regulatory Processes,Transparency,Audit Data,Validate Submissions,4bbdaabf-39c8-471c-ac38-73f16bb76e12,Legal,EMEA,Approved,2025-08-23,Michael Smith,86.33,Drop activity camera success opportunity.
Operational Risk,Compliance Governance,Reporting Compliance,Submit Compliance Filings,Transparency,Audit Data,Validate Submissions,a17b4944-0c55-40f7-ab2f-ecdb3737e689,Legal,Americas,Rejected,2025-07-29,Kari Price,83.36,Along improve movie adult war.
Regulatory Oversight,Risk and Compliance Operations,Regulatory Compliance,Audit Regulatory Processes,Governance,Compliance Data,Validate Submissions,3cfe468e-272b-4da5-adf9-3305aa609726,Finance,APAC,Submitted,2025-03-03,Kevin Sanchez,82.81,Room around too recent hair heart.
Risk Management,Risk and Compliance Operations,Compliance Monitoring,Submit Compliance Filings,Transparency,Audit Data,Prepare Regulatory Reports,392f44a6-3193-4774-a4cf-38b522ae22b5,Legal,Americas,Pending,2025-02-10,Barbara Glover,70.98,Card growth usually sure attention learn.
Operational Risk,Compliance Governance,Reporting Compliance,Audit Regulatory Processes,Transparency,Regulatory Data,Prepare Regulatory Reports,18f9f9f9-1cab-48b9-b0e5-3a8b9d4bb16b,Compliance,Americas,In Review,2025-09-15,Bradley Barton,74.91,Large past budget event community social whatever.
Risk Management,Compliance Governance,Compliance Monitoring,Prepare Regulatory Reports,Transparency,Compliance Data,Prepare Regulatory Reports,ba2726dc-c780-4fb1-9a2f-990b332e6da7,Finance,APAC,Pending,2025-08-04,Lisa Shannon,93.9,Focus blue campaign big let.
Regulatory Oversight,Risk and Compliance Operations,Reporting Compliance,Audit Regulatory Processes,Transparency,Regulatory Data,Review Compliance Reports,91598789-f1a9-4a0d-8c02-0080b554d862,Legal,APAC,Approved,2025-05-20,Brandon West,92.72,Anyone claim choice family character.
Risk Management,Risk and Compliance Operations,Reporting Compliance,Submit Compliance Filings,Compliance,Compliance Data,Prepare Regulatory Reports,6f9ab0ef-730d-47a7-bf18-d77a01c35b22,Legal,Americas,In Review,2025-06-21,Teresa Lopez,87.55,Ready thank father national despite place knowledge.
Regulatory Oversight,Regulatory Affairs,Regulatory Compliance,Audit Regulatory Processes,Compliance,Regulatory Data,Review Compliance Reports,409d7845-202c-4fa1-9ccc-7431dee1bf8b,Operations,Americas,Approved,2025-09-30,Jason Wang,86.29,Election early significant campaign gas us support cultural.
Operational Risk,Regulatory Affairs,Compliance Monitoring,Prepare Regulatory Reports,Governance,Regulatory Data,Review Compliance Reports,020dd41c-6882-4d15-87e6-e2155aa19dcb,Legal,EMEA,Pending,2025-03-25,John Herrera,86.91,Size certainly hot else probably body ready.
Risk Management,Risk and Compliance Operations,Regulatory Compliance,Submit Compliance Filings,Transparency,Regulatory Data,Prepare Regulatory Reports,e2ee4974-a7eb-4633-9714-dbf9eadb9360,Compliance,Americas,Pending,2025-02-13,Ashley Nichols,88.77,Guess response live what hot six least.
Risk Management,Compliance Governance,Compliance Monitoring,Prepare Regulatory Reports,Compliance,Audit Data,Review Compliance Reports,576dc050-1c28-40d6-99b0-bc44ab71cc13,Legal,APAC,Approved,2025-04-29,Laurie Fuentes,76.39,Dark worker serious rule leader month.
Regulatory Oversight,Risk and Compliance Operations,Regulatory Compliance,Audit Regulatory Processes,Transparency,Audit Data,Prepare Regulatory Reports,ac2cbb05-01b2-466f-a8f3-1c9a7bde1f39,Compliance,EMEA,Approved,2025-03-27,Clifford Alexander,97.25,Imagine available describe design discuss front throughout.
Risk Management,Regulatory Affairs,Regulatory Compliance,Audit Regulatory Processes,Governance,Regulatory Data,Prepare Regulatory Reports,f3ad5db7-e5c9-4613-8d9d-d4f92f592a85,Operations,APAC,In Review,2025-06-21,Emily Richardson,82.77,Investment hotel begin wife upon population half.
Operational Risk,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Transparency,Audit Data,Prepare Regulatory Reports,8df71e04-2ec8-40cf-a0f9-e3b0e8cf1a2c,Operations,EMEA,Pending,2025-02-24,Teresa Ashley,83.03,Why business foot run.
Operational Risk,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Compliance,Regulatory Data,Validate Submissions,e40667ef-6d5b-4bab-b306-d0579412c5da,Compliance,EMEA,Approved,2025-04-05,Russell Cooper,70.88,Movie property door.
Regulatory Oversight,Regulatory Affairs,Reporting Compliance,Submit Compliance Filings,Compliance,Audit Data,Review Compliance Reports,d7127c5f-b066-45fa-9932-c6150be5ee73,Finance,Americas,Pending,2025-06-03,Austin Wilson,78.54,Piece day sure.
Regulatory Oversight,Regulatory Affairs,Regulatory Compliance,Prepare Regulatory Reports,Governance,Audit Data,Prepare Regulatory Reports,15ddebf8-e7ad-4790-adae-d327e7e57826,Legal,Americas,Submitted,2025-05-09,Jenna Gordon,92.91,Major candidate purpose yeah.
Regulatory Oversight,Risk and Compliance Operations,Compliance Monitoring,Submit Compliance Filings,Compliance,Compliance Data,Prepare Regulatory Reports,8608c0cf-5733-4ee2-b14c-635d216b2ab8,Finance,EMEA,Submitted,2025-02-28,Emily Baker,70.86,Manage evening prepare you fine.
Risk Management,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Transparency,Audit Data,Validate Submissions,35947124-dc7b-4e62-b1b8-1001553d4284,Finance,Americas,Rejected,2025-06-21,Diana Willis,72.89,Case federal third beautiful should avoid wait piece.
Operational Risk,Compliance Governance,Reporting Compliance,Audit Regulatory Processes,Governance,Compliance Data,Validate Submissions,8041aed2-7671-4729-a685-01d22c5801b4,Finance,EMEA,Rejected,2025-07-15,Ronald Johnson,74.82,Modern board local media cut threat.
Risk Management,Regulatory Affairs,Compliance Monitoring,Prepare Regulatory Reports,Governance,Regulatory Data,Prepare Regulatory Reports,1919cc6b-8910-451b-880f-3e90dee51e26,Legal,Americas,Pending,2025-07-02,Maria Garcia,82.63,Red get role husband continue fight attack.
Operational Risk,Compliance Governance,Compliance Monitoring,Submit Compliance Filings,Compliance,Compliance Data,Prepare Regulatory Reports,deb34bd5-ef7d-4506-881e-20c3ddda44f6,Finance,EMEA,In Review,2025-10-02,William Rojas,70.88,President although offer large safe.
Operational Risk,Risk and Compliance Operations,Compliance Monitoring,Prepare Regulatory Reports,Transparency,Compliance Data,Validate Submissions,f5f2e9da-bcf4-4d35-86f6-d78ac9114c0c,Operations,EMEA,In Review,2025-03-01,Jill Arias,97.64,Daughter agree probably.
Regulatory Oversight,Risk and Compliance Operations,Regulatory Compliance,Prepare Regulatory Reports,Governance,Compliance Data,Prepare Regulatory Reports,9ce29457-272d-4dff-a25f-690006b1b2b3,Compliance,EMEA,Submitted,2025-08-08,Kimberly Roberson,82.67,Hundred continue fish size can note.
Regulatory Oversight,Regulatory Affairs,Compliance Monitoring,Audit Regulatory Processes,Transparency,Compliance Data,Validate Submissions,4ba74f9f-6bd8-4232-bc66-bb81ea055a1b,Compliance,Americas,In Review,2025-04-25,Jennifer Stephens,99.58,Operation avoid event white.
Risk Management,Regulatory Affairs,Compliance Monitoring,Submit Compliance Filings,Governance,Audit Data,Prepare Regulatory Reports,35a9d203-1ede-417d-9479-e94a40e0294b,Compliance,Americas,Pending,2025-08-23,Ashley Harrison,91.41,Impact rest president at.
Operational Risk,Regulatory Affairs,Regulatory Compliance,Prepare Regulatory Reports,Governance,Regulatory Data,Prepare Regulatory Reports,ddca33cc-08fc-4b8c-bd18-85305998b6b1,Finance,EMEA,In Review,2025-03-19,Victoria Roberts,95.52,Evening television day ever plan various size possible.
Operational Risk,Compliance Governance,Reporting Compliance,Submit Compliance Filings,Transparency,Audit Data,Validate Submissions,b1dc2e2e-ed98-46bb-bd14-2996e80a637d,Legal,Americas,In Review,2025-03-15,Evan House,80.04,South through give hit news.
Regulatory Oversight,Regulatory Affairs,Reporting Compliance,Submit Compliance Filings,Transparency,Compliance Data,Prepare Regulatory Reports,18131bd4-ae65-4043-90d0-0c3caea8fca3,Operations,Americas,Approved,2025-05-01,Jay Sampson,84.45,Play father study citizen whole push.
Risk Management,Regulatory Affairs,Regulatory Compliance,Submit Compliance Filings,Compliance,Regulatory Data,Validate Submissions,c809a9d5-cc82-4dc7-8f80-eadcff54ef69,Operations,Americas,Submitted,2025-05-07,Sheila Nelson,97.82,History conference area bag everything manager.
Risk Management,Compliance Governance,Reporting Compliance,Audit Regulatory Processes,Transparency,Compliance Data,Review Compliance Reports,0344a5bf-f211-410d-a638-a35dd2a5897e,Compliance,Americas,Submitted,2025-06-18,Jill Burns,83.49,Reality mind brother allow thousand.
Risk Management,Risk and Compliance Operations,Reporting Compliance,Submit Compliance Filings,Governance,Regulatory Data,Validate Submissions,fac90cb5-f1ca-4ef9-8462-066ea602ee6a,Compliance,APAC,Rejected,2025-02-22,Tamara Wilkerson,87.6,Us quickly that energy indeed.
Risk Management,Compliance Governance,Compliance Monitoring,Submit Compliance Filings,Governance,Regulatory Data,Validate Submissions,0e2e9174-0518-4dbd-ad9a-c84f1599d077,Operations,EMEA,Submitted,2025-02-12,Christopher Perez,90.85,First common visit few director bed I.
Risk Management,Regulatory Affairs,Compliance Monitoring,Submit Compliance Filings,Compliance,Audit Data,Validate Submissions,fbe0e3bc-c6d8-44cc-9141-5a0e808da1eb,Compliance,APAC,Pending,2025-03-06,Nathan Weber,99.85,Pm agreement letter economy service.
Regulatory Oversight,Regulatory Affairs,Reporting Compliance,Prepare Regulatory Reports,Governance,Regulatory Data,Review Compliance Reports,b2c27672-f432-404f-a4b7-13b26fa65b1e,Finance,Americas,Approved,2025-07-05,Brian Bush,85.25,Former firm morning despite traditional low station road.
Operational Risk,Risk and Compliance Operations,Compliance Monitoring,Audit Regulatory Processes,Governance,Compliance Data,Prepare Regulatory Reports,fea17ecf-7026-47aa-a350-0adfe39e49c6,Finance,EMEA,In Review,2025-03-04,Barbara Gaines,77.48,Individual anyone fall evening same study.
Operational Risk,Regulatory Affairs,Regulatory Compliance,Audit Regulatory Processes,Transparency,Regulatory Data,Validate Submissions,1a4c2b29-958f-4e2d-8c2b-2cf0a7b0a054,Finance,EMEA,Pending,2025-03-21,Alex Thomas,86.23,Fill create somebody while interest member cell.
Risk Management,Risk and Compliance Operations,Compliance Monitoring,Audit Regulatory Processes,Compliance,Compliance Data,Validate Submissions,4b05efc9-a760-4b41-a95c-7c32ab35e5d2,Legal,APAC,In Review,2025-04-12,David Coleman,79.72,Light drug else hard concern possible.
Risk Management,Compliance Governance,Compliance Monitoring,Submit Compliance Filings,Compliance,Audit Data,Validate Submissions,86e8a0b9-9b96-47e6-904c-aca826d8031b,Operations,EMEA,Approved,2025-03-18,John Horton,74.59,Score ten window even.
Operational Risk,Regulatory Affairs,Regulatory Compliance,Prepare Regulatory Reports,Transparency,Compliance Data,Prepare Regulatory Reports,cc1aa1ab-38ef-4555-a45e-9a63d9df6f6a,Finance,Americas,Approved,2025-04-21,Ana Mejia,98.84,Than town contain employee.
Operational Risk,Risk and Compliance Operations,Regulatory Compliance,Audit Regulatory Processes,Transparency,Compliance Data,Review Compliance Reports,50a9f751-4ed8-498d-af65-33b2ed63d6cb,Finance,EMEA,Submitted,2025-04-30,James Miller,87.56,Allow generation future simple.
Risk Management,Compliance Governance,Reporting Compliance,Prepare Regulatory Reports,Compliance,Audit Data,Validate Submissions,55dff2ab-0c44-4a8b-866c-24db36ce7cda,Compliance,EMEA,Approved,2025-08-21,Cody Mitchell,94.96,Player decide management you free near child.
Risk Management,Regulatory Affairs,Regulatory Compliance,Prepare Regulatory Reports,Governance,Compliance Data,Validate Submissions,b323dc2c-780f-4eb0-998c-c4f227b88bf9,Legal,APAC,Pending,2025-06-22,Margaret Duran,99.97,Concern pick direction serious alone east.
Operational Risk,Regulatory Affairs,Reporting Compliance,Submit Compliance Filings,Transparency,Compliance Data,Review Compliance Reports,405af3ed-6785-4373-807d-6fbca8e5c634,Compliance,Americas,Approved,2025-07-17,Timothy Miller,90.96,Toward physical chair allow style say might.
Risk Management,Regulatory Affairs,Reporting Compliance,Submit Compliance Filings,Compliance,Compliance Data,Review Compliance Reports,ada7c0d8-add2-4255-8e2f-a12f7793704c,Legal,EMEA,In Review,2025-01-25,Linda Morse,97.67,Radio interest wall far network head still.
Operational Risk,Regulatory Affairs,Reporting Compliance,Prepare Regulatory Reports,Governance,Compliance Data,Prepare Regulatory Reports,0eecd858-eb99-4837-9d13-da10c71ad0ce,Finance,Americas,Pending,2025-08-12,Larry Rose,98.69,Hand tough ground career.
Risk Management,Risk and Compliance Operations,Regulatory Compliance,Submit Compliance Filings,Governance,Regulatory Data,Prepare Regulatory Reports,4afc5675-1956-4249-b798-14a1fb74de09,Finance,APAC,Pending,2025-02-08,Bruce Cox,83.66,Method suffer heart color.
Operational Risk,Risk and Compliance Operations,Reporting Compliance,Prepare Regulatory Reports,Governance,Audit Data,Review Compliance Reports,b05f52b2-f888-4945-91d4-a18ecad189cc,Operations,APAC,In Review,2025-07-26,Jennifer Collins,74.77,Time opportunity lose two may two easy.
Operational Risk,Compliance Governance,Reporting Compliance,Submit Compliance Filings,Transparency,Regulatory Data,Prepare Regulatory Reports,0387fd0f-aa88-4ff6-84a1-d76f7019dc96,Finance,EMEA,Rejected,2025-09-02,Donna Morgan,81.17,Radio analysis ball cold according I.
Risk Management,Compliance Governance,Reporting Compliance,Prepare Regulatory Reports,Governance,Audit Data,Review Compliance Reports,2ac256df-5d80-4088-8d73-fbd21cee75bc,Operations,APAC,Rejected,2025-06-17,Rachel Williams,98.16,Better recent no.
Regulatory Oversight,Compliance Governance,Compliance Monitoring,Audit Regulatory Processes,Governance,Audit Data,Validate Submissions,c39a2937-9591-461e-a2d7-019e567e05f2,Finance,APAC,Submitted,2025-08-20,Jordan Robinson,81.28,Themselves board perhaps very.
Risk Management,Compliance Governance,Regulatory Compliance,Prepare Regulatory Reports,Governance,Compliance Data,Review Compliance Reports,5174e8d4-4d3c-4aab-bafe-92f020816141,Legal,Americas,In Review,2025-02-12,John Barrett,98.94,Wrong break seek such nothing serious sign.
Risk Management,Regulatory Affairs,Reporting Compliance,Audit Regulatory Processes,Governance,Audit Data,Review Compliance Reports,a6b0c935-c65d-463f-8430-f1df20421dde,Operations,APAC,Pending,2025-05-06,Nathan Green,82.74,School international unit yes rather fish this.
Regulatory Oversight,Regulatory Affairs,Regulatory Compliance,Submit Compliance Filings,Governance,Regulatory Data,Validate Submissions,7663a19a-d4a9-45a2-b6d9-f95a9e6fba3c,Operations,EMEA,Submitted,2025-05-23,Melissa Vang,77.76,Interesting enough wait real people.
Risk Management,Compliance Governance,Regulatory Compliance,Prepare Regulatory Reports,Compliance,Audit Data,Review Compliance Reports,c8973071-016a-45e2-b1ef-c0ce8de93687,Compliance,Americas,Rejected,2025-02-09,Lisa Zamora,75.18,Local clearly prove why industry.
Regulatory Oversight,Regulatory Affairs,Regulatory Compliance,Submit Compliance Filings,Compliance,Audit Data,Review Compliance Reports,ecb9d32a-1ea9-4cb2-af79-ce1e3e28ea3f,Operations,APAC,Submitted,2025-08-09,Franklin Reid,91.33,Professor everyone whatever kid break national.
Risk Management,Compliance Governance,Reporting Compliance,Submit Compliance Filings,Compliance,Audit Data,Validate Submissions,dde18688-d435-4823-a2be-e8d774c183ab,Finance,Americas,Pending,2025-07-26,Jeremy Holland,98.64,Rather into last drop around thousand.
Regulatory Oversight,Risk and Compliance Operations,Regulatory Compliance,Audit Regulatory Processes,Transparency,Audit Data,Validate Submissions,4fab7802-c9a7-4636-8de3-196d3e3c1ecb,Compliance,EMEA,In Review,2025-03-19,Justin Osborne,92.55,Wind author land especially less inside almost.
Regulatory Oversight,Risk and Compliance Operations,Compliance Monitoring,Audit Regulatory Processes,Governance,Audit Data,Validate Submissions,95b85102-8d43-4ca3-88a1-4df8edae606b,Legal,Americas,Submitted,2025-02-12,Gregory Delgado,95.32,Hot own only sometimes mention reflect identify where.
Risk Management,Regulatory Affairs,Regulatory Compliance,Submit Compliance Filings,Governance,Regulatory Data,Validate Submissions,071770a9-d763-43f7-9f14-3d3a1dfda2dc,Legal,Americas,In Review,2025-06-15,Robert Rivera,98.13,Example face instead full maintain.
Regulatory Oversight,Compliance Governance,Regulatory Compliance,Prepare Regulatory Reports,Compliance,Audit Data,Review Compliance Reports,cff9fcf6-427d-4ce4-886d-89f69c8d2119,Compliance,Americas,In Review,2025-06-11,Charlotte Walker,95.94,Wide join election use well hour.
Operational Risk,Regulatory Affairs,Regulatory Compliance,Prepare Regulatory Reports,Governance,Audit Data,Review Compliance Reports,deb531c2-43a6-4756-86f7-83999c197d37,Legal,APAC,In Review,2025-04-22,Zachary Gonzalez,79.0,Instead likely camera finish down.
Operational Risk,Compliance Governance,Compliance Monitoring,Audit Regulatory Processes,Compliance,Compliance Data,Prepare Regulatory Reports,20af86f1-75c1-4b9e-937f-5a36406faebd,Legal,EMEA,Submitted,2025-01-18,Jose Stewart,87.59,Toward measure keep page down purpose.
Operational Risk,Compliance Governance,Reporting Compliance,Submit Compliance Filings,Compliance,Compliance Data,Review Compliance Reports,fc5b1b7a-6007-4909-934d-5b79f83bb053,Finance,APAC,Approved,2025-01-20,Anthony Frederick,93.17,Include this point well sometimes opportunity trial.
Operational Risk,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Governance,Audit Data,Validate Submissions,255152c4-74e1-443c-9507-dfd3c94595e9,Legal,Americas,In Review,2025-03-21,Jeremy Rollins,80.34,Himself set special also.
Operational Risk,Compliance Governance,Compliance Monitoring,Prepare Regulatory Reports,Compliance,Regulatory Data,Review Compliance Reports,fc0dc791-75ed-4890-bef2-17d393292e74,Compliance,APAC,Rejected,2025-03-12,Lauren Brown,74.88,Training any simple apply security down little.
Regulatory Oversight,Compliance Governance,Compliance Monitoring,Prepare Regulatory Reports,Compliance,Audit Data,Review Compliance Reports,ea11df2a-2f15-4e9c-a78a-defddc82ee16,Legal,APAC,Rejected,2025-10-13,Kayla Gilbert,87.76,Base second act popular where.
Risk Management,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Compliance,Regulatory Data,Review Compliance Reports,eb99268a-ff36-4745-b5ea-5d0af3aeb7cb,Legal,Americas,Approved,2025-05-17,Karen Hahn,98.87,Board focus create what indicate.
Regulatory Oversight,Risk and Compliance Operations,Compliance Monitoring,Submit Compliance Filings,Compliance,Regulatory Data,Review Compliance Reports,9244b0af-0c40-4f60-bcba-c4b1c9c2ea73,Compliance,EMEA,Submitted,2025-08-25,Danielle Bryant,92.19,Record might exist.
Risk Management,Regulatory Affairs,Reporting Compliance,Audit Regulatory Processes,Transparency,Audit Data,Validate Submissions,10999884-5db7-45d2-8ec6-b54af2f00203,Finance,EMEA,Rejected,2025-01-31,Jeremy White,74.31,Two happen political paper along under public early.
Operational Risk,Compliance Governance,Compliance Monitoring,Submit Compliance Filings,Compliance,Regulatory Data,Validate Submissions,2262cd4e-1fdc-4219-b93b-dbd466f06975,Operations,EMEA,Pending,2025-02-11,Lisa Jimenez,86.29,Wait tough bank really cut yet.
Risk Management,Compliance Governance,Reporting Compliance,Prepare Regulatory Reports,Transparency,Regulatory Data,Review Compliance Reports,4ba263f0-40d1-41d2-bb94-a39564b7fe00,Compliance,EMEA,In Review,2025-05-28,Colleen Miller,87.11,Head century do economy door.
Risk Management,Regulatory Affairs,Compliance Monitoring,Submit Compliance Filings,Governance,Audit Data,Prepare Regulatory Reports,fb4c3358-97f0-494f-b2ee-747fb3641a74,Finance,APAC,In Review,2025-01-16,Valerie Young,89.52,Race vote section trip.
Operational Risk,Compliance Governance,Regulatory Compliance,Audit Regulatory Processes,Compliance,Compliance Data,Prepare Regulatory Reports,63ec19e3-d60e-452e-9141-f7b0965bae52,Operations,EMEA,Pending,2025-02-24,Anna Tran,75.87,Charge land hundred hope if pretty.
Risk Management,Regulatory Affairs,Compliance Monitoring,Prepare Regulatory Reports,Compliance,Compliance Data,Prepare Regulatory Reports,561e0856-cb10-4999-9e7c-d426d58ee837,Legal,APAC,In Review,2025-08-12,Jesus Thomas,84.45,Method water official.
Operational Risk,Regulatory Affairs,Reporting Compliance,Submit Compliance Filings,Compliance,Audit Data,Prepare Regulatory Reports,12b5a2f1-d684-4fed-915f-2c317f18f640,Operations,EMEA,Submitted,2025-07-25,Mr. Ethan Page III,81.74,Eight cup company pressure sort would career.
Regulatory Oversight,Regulatory Affairs,Reporting Compliance,Submit Compliance Filings,Transparency,Compliance Data,Review Compliance Reports,d2c8def2-b2a5-4a53-9c24-135ce258eacc,Finance,APAC,Rejected,2025-04-18,David West,99.19,Or watch close Democrat ball story consumer.
Operational Risk,Compliance Governance,Reporting Compliance,Submit Compliance Filings,Transparency,Regulatory Data,Validate Submissions,a60ac7db-6ac7-4d7b-96e4-5fb19a94127f,Legal,EMEA,Pending,2025-01-01,Russell Kelly,83.11,More these civil five cover difference few.
Risk Management,Risk and Compliance Operations,Regulatory Compliance,Audit Regulatory Processes,Transparency,Audit Data,Prepare Regulatory Reports,bebe2138-bbef-4bd1-8eb0-77b113c18cf3,Operations,Americas,Rejected,2025-09-26,Gabriella Martin,79.53,Eye national test economic receive.
Operational Risk,Risk and Compliance Operations,Reporting Compliance,Submit Compliance Filings,Governance,Compliance Data,Prepare Regulatory Reports,d8af3e2b-c540-4102-9318-d9d47045dd1f,Finance,APAC,In Review,2025-05-06,Mary Ryan,87.91,Course own want PM only maybe.
Operational Risk,Risk and Compliance Operations,Compliance Monitoring,Submit Compliance Filings,Transparency,Regulatory Data,Prepare Regulatory Reports,776711e0-06a4-47a1-9038-7b8bc089b4ba,Operations,Americas,Approved,2025-04-29,Erika Taylor,86.26,Great scientist public military data top.
Operational Risk,Compliance Governance,Reporting Compliance,Audit Regulatory Processes,Compliance,Audit Data,Review Compliance Reports,7d15111b-38a8-458e-af86-d975b98a7169,Finance,EMEA,Approved,2025-05-29,Robert Jimenez,70.98,Bill huge talk particularly official drop.
Regulatory Oversight,Compliance Governance,Regulatory Compliance,Prepare Regulatory Reports,Compliance,Audit Data,Review Compliance Reports,44ee3322-f22e-41e0-8808-21dd12ac2f8d,Compliance,Americas,In Review,2025-01-10,Betty Carpenter,81.05,Seem kitchen check rich goal later order.
