Employee_ID,Employee_Name,Department,Job_Role,Training_Program,Training_Start_Date,Training_End_Date,Training_Status,Training_Mode,Training_Hours,Training_Score,Certification_Received,Feedback_Rating,Feedback_Comments,Data_Segment,Value_Domain,Data_Domain,Data_Value
EMP0136,Employee_136,IT,Engineer,Technical Upskilling,2025-05-02,2025-05-27,In Progress,Online,25,64.89,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0137,Employee_137,HR,Executive,Technical Upskilling,2025-08-08,2025-08-29,Completed,Online,26,95.69,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0138,Employee_138,IT,Executive,Leadership Training,2025-05-08,2025-06-05,Not Started,Classroom,8,81.91,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0139,Employee_139,IT,Executive,Data Science Certification,2025-08-01,2025-08-17,In Progress,Online,33,99.17,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0140,Employee_140,Finance,Analyst,Compliance Training,2025-06-26,2025-07-20,Not Started,Classroom,33,54.7,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0141,Employee_141,Finance,Executive,Technical Upskilling,2025-10-11,2025-11-08,Not Started,Hybrid,14,55.39,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0142,Employee_142,IT,Assistant,Soft Skills Workshop,2025-09-18,2025-09-24,Not Started,Online,12,97.99,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0143,Employee_143,HR,Executive,Leadership Training,2025-09-24,2025-10-06,In Progress,Online,26,77.68,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0144,Employee_144,Finance,Executive,Leadership Training,2025-06-03,2025-06-23,Not Started,Classroom,33,99.27,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0145,Employee_145,Finance,Analyst,Compliance Training,2025-10-03,2025-10-12,Completed,Classroom,5,72.3,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0146,Employee_146,HR,Analyst,Soft Skills Workshop,2025-07-04,2025-07-05,Completed,Classroom,4,97.76,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0147,Employee_147,HR,Assistant,Project Management,2025-10-17,2025-11-07,Not Started,Hybrid,24,77.31,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0148,Employee_148,HR,Assistant,Soft Skills Workshop,2025-09-06,2025-09-20,Completed,Hybrid,39,65.65,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0149,Employee_149,Finance,Manager,Technical Upskilling,2025-06-01,2025-06-15,In Progress,Classroom,29,63.41,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0150,Employee_150,Sales,Analyst,Project Management,2025-08-14,2025-09-10,Not Started,Classroom,23,98.14,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0151,Employee_151,Finance,Assistant,Leadership Training,2025-06-14,2025-07-01,Completed,Hybrid,4,66.51,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0152,Employee_152,HR,Assistant,Technical Upskilling,2025-09-22,2025-10-19,Not Started,Hybrid,21,60.57,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0153,Employee_153,HR,Manager,Project Management,2025-09-26,2025-09-30,Not Started,Classroom,23,71.02,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0154,Employee_154,Marketing,Manager,Compliance Training,2025-05-26,2025-06-23,Completed,Online,5,52.91,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0155,Employee_155,Operations,Consultant,Leadership Training,2025-10-03,2025-10-30,Completed,Online,6,74.35,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0156,Employee_156,Finance,Analyst,Compliance Training,2025-04-20,2025-04-28,Completed,Online,20,65.25,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0157,Employee_157,IT,Engineer,Compliance Training,2025-04-25,2025-05-01,Completed,Classroom,38,62.22,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0158,Employee_158,HR,Manager,Data Science Certification,2025-06-26,2025-07-09,In Progress,Classroom,9,62.99,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0159,Employee_159,Sales,Assistant,Data Science Certification,2025-09-13,2025-10-02,Completed,Classroom,12,59.99,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0160,Employee_160,Finance,Executive,Compliance Training,2025-09-20,2025-09-26,Completed,Classroom,15,97.66,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0161,Employee_161,Finance,Manager,Data Science Certification,2025-05-29,2025-06-22,Not Started,Classroom,24,76.72,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0162,Employee_162,HR,Executive,Leadership Training,2025-05-01,2025-05-11,Completed,Hybrid,15,63.36,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0163,Employee_163,Finance,Consultant,Leadership Training,2025-09-29,2025-10-22,In Progress,Classroom,3,82.39,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0164,Employee_164,IT,Assistant,Compliance Training,2025-10-03,2025-10-24,Completed,Hybrid,17,98.9,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0165,Employee_165,Marketing,Executive,Leadership Training,2025-07-26,2025-08-10,In Progress,Hybrid,26,70.5,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0166,Employee_166,Sales,Engineer,Soft Skills Workshop,2025-10-02,2025-10-09,Not Started,Hybrid,29,77.33,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0167,Employee_167,HR,Executive,Soft Skills Workshop,2025-06-16,2025-06-23,In Progress,Classroom,35,86.74,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0168,Employee_168,Marketing,Manager,Project Management,2025-07-17,2025-07-30,Completed,Online,7,59.29,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0169,Employee_169,Sales,Analyst,Technical Upskilling,2025-08-12,2025-09-06,In Progress,Classroom,14,67.73,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0170,Employee_170,IT,Analyst,Technical Upskilling,2025-05-16,2025-05-24,In Progress,Online,24,78.12,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0171,Employee_171,Marketing,Consultant,Technical Upskilling,2025-08-02,2025-08-03,In Progress,Online,34,63.81,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0172,Employee_172,Operations,Consultant,Data Science Certification,2025-08-02,2025-08-30,Not Started,Online,8,61.1,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0173,Employee_173,Operations,Executive,Technical Upskilling,2025-05-01,2025-05-08,Completed,Classroom,37,75.96,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0174,Employee_174,Operations,Assistant,Project Management,2025-06-06,2025-06-21,Completed,Online,8,90.4,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0175,Employee_175,HR,Manager,Data Science Certification,2025-07-13,2025-08-11,Completed,Classroom,4,74.07,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0176,Employee_176,Marketing,Assistant,Compliance Training,2025-09-12,2025-10-05,In Progress,Classroom,17,77.45,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0177,Employee_177,Operations,Manager,Leadership Training,2025-07-26,2025-07-30,Not Started,Online,22,67.09,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0178,Employee_178,HR,Assistant,Soft Skills Workshop,2025-05-22,2025-05-28,Completed,Classroom,3,67.42,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0179,Employee_179,Operations,Analyst,Technical Upskilling,2025-10-01,2025-10-18,In Progress,Hybrid,25,52.19,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0180,Employee_180,IT,Assistant,Project Management,2025-06-15,2025-07-08,Not Started,Online,6,78.02,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0181,Employee_181,Operations,Manager,Soft Skills Workshop,2025-10-09,2025-10-31,In Progress,Online,22,79.42,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0182,Employee_182,IT,Manager,Soft Skills Workshop,2025-06-13,2025-07-05,In Progress,Hybrid,4,94.6,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0183,Employee_183,Marketing,Analyst,Data Science Certification,2025-05-25,2025-05-27,Not Started,Classroom,19,96.02,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0184,Employee_184,Marketing,Manager,Compliance Training,2025-06-09,2025-06-21,Not Started,Classroom,33,78.59,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0185,Employee_185,Marketing,Executive,Technical Upskilling,2025-05-15,2025-06-05,In Progress,Hybrid,9,99.0,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0186,Employee_186,Finance,Executive,Soft Skills Workshop,2025-06-04,2025-06-15,In Progress,Hybrid,9,96.61,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0187,Employee_187,Sales,Engineer,Project Management,2025-06-16,2025-06-28,Completed,Online,33,90.44,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0188,Employee_188,Marketing,Consultant,Leadership Training,2025-05-08,2025-05-26,Completed,Classroom,5,66.2,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0189,Employee_189,HR,Consultant,Compliance Training,2025-06-14,2025-07-01,In Progress,Classroom,4,92.13,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0190,Employee_190,HR,Executive,Soft Skills Workshop,2025-04-27,2025-05-12,In Progress,Online,27,66.84,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0191,Employee_191,Operations,Manager,Technical Upskilling,2025-10-07,2025-10-31,In Progress,Classroom,29,97.5,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0192,Employee_192,IT,Manager,Data Science Certification,2025-07-11,2025-07-14,Completed,Classroom,5,85.25,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0193,Employee_193,Finance,Engineer,Technical Upskilling,2025-06-24,2025-07-19,In Progress,Online,19,67.39,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0194,Employee_194,Finance,Engineer,Compliance Training,2025-07-25,2025-08-02,Not Started,Hybrid,11,97.97,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0195,Employee_195,Marketing,Manager,Project Management,2025-05-30,2025-06-13,Not Started,Online,12,76.57,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0196,Employee_196,Finance,Consultant,Project Management,2025-09-29,2025-10-22,In Progress,Hybrid,16,62.78,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0197,Employee_197,Operations,Analyst,Compliance Training,2025-07-23,2025-08-10,Not Started,Online,12,75.22,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0198,Employee_198,Operations,Executive,Leadership Training,2025-09-13,2025-10-07,Not Started,Hybrid,37,75.84,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0199,Employee_199,IT,Manager,Project Management,2025-05-05,2025-05-30,Completed,Online,8,77.3,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0200,Employee_200,Finance,Consultant,Soft Skills Workshop,2025-09-02,2025-09-13,Completed,Classroom,32,88.71,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0201,Employee_201,Operations,Executive,Compliance Training,2025-07-02,2025-07-23,Completed,Online,23,97.73,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0202,Employee_202,Sales,Manager,Leadership Training,2025-05-08,2025-05-30,In Progress,Online,34,54.62,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0203,Employee_203,HR,Executive,Project Management,2025-09-27,2025-10-01,Not Started,Classroom,38,80.42,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0204,Employee_204,Marketing,Consultant,Project Management,2025-05-28,2025-06-20,In Progress,Classroom,10,73.22,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0205,Employee_205,Marketing,Assistant,Soft Skills Workshop,2025-09-12,2025-10-04,In Progress,Online,5,80.81,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0206,Employee_206,Operations,Assistant,Soft Skills Workshop,2025-08-21,2025-09-11,Not Started,Classroom,25,68.89,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0207,Employee_207,Finance,Manager,Soft Skills Workshop,2025-04-27,2025-05-12,In Progress,Hybrid,12,88.99,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0208,Employee_208,Finance,Consultant,Data Science Certification,2025-04-20,2025-05-06,In Progress,Classroom,31,70.46,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0209,Employee_209,HR,Analyst,Project Management,2025-05-30,2025-06-06,Completed,Classroom,19,87.67,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0210,Employee_210,HR,Analyst,Project Management,2025-05-27,2025-06-03,Completed,Hybrid,16,75.16,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0211,Employee_211,Sales,Analyst,Soft Skills Workshop,2025-10-03,2025-10-12,Completed,Online,18,88.34,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0212,Employee_212,Sales,Executive,Data Science Certification,2025-09-03,2025-09-15,In Progress,Hybrid,17,86.64,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0213,Employee_213,HR,Engineer,Compliance Training,2025-08-27,2025-09-26,Completed,Online,26,52.7,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0214,Employee_214,HR,Engineer,Leadership Training,2025-07-11,2025-07-15,In Progress,Hybrid,20,50.13,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0215,Employee_215,Finance,Analyst,Data Science Certification,2025-10-02,2025-10-05,Not Started,Online,37,62.9,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0216,Employee_216,IT,Assistant,Project Management,2025-05-04,2025-05-13,Completed,Hybrid,5,60.21,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0217,Employee_217,IT,Consultant,Data Science Certification,2025-05-05,2025-05-08,Not Started,Online,11,95.24,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0218,Employee_218,Operations,Executive,Soft Skills Workshop,2025-04-24,2025-05-11,In Progress,Hybrid,20,77.23,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0219,Employee_219,Marketing,Assistant,Compliance Training,2025-09-28,2025-10-01,Not Started,Hybrid,16,54.37,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0220,Employee_220,Finance,Assistant,Project Management,2025-07-24,2025-08-07,Completed,Online,3,94.75,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0221,Employee_221,HR,Manager,Leadership Training,2025-04-25,2025-05-21,In Progress,Classroom,7,98.4,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0222,Employee_222,IT,Consultant,Project Management,2025-04-26,2025-05-20,Not Started,Classroom,27,88.07,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0223,Employee_223,Marketing,Manager,Leadership Training,2025-07-20,2025-08-11,Not Started,Hybrid,30,73.3,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0224,Employee_224,Operations,Assistant,Leadership Training,2025-10-02,2025-10-17,Completed,Classroom,34,81.57,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0225,Employee_225,IT,Assistant,Project Management,2025-08-06,2025-08-08,Completed,Online,29,77.35,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0226,Employee_226,Operations,Consultant,Soft Skills Workshop,2025-08-24,2025-09-11,In Progress,Online,14,58.01,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0227,Employee_227,Marketing,Analyst,Data Science Certification,2025-07-08,2025-07-12,Completed,Hybrid,4,62.25,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0228,Employee_228,HR,Engineer,Project Management,2025-07-11,2025-07-29,Not Started,Hybrid,8,55.18,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0229,Employee_229,Sales,Analyst,Leadership Training,2025-05-06,2025-05-21,Completed,Classroom,7,62.03,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0230,Employee_230,HR,Analyst,Project Management,2025-07-12,2025-08-03,Completed,Online,17,77.53,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0231,Employee_231,HR,Manager,Technical Upskilling,2025-05-27,2025-05-30,Not Started,Hybrid,15,97.55,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0232,Employee_232,IT,Manager,Leadership Training,2025-07-22,2025-07-29,Completed,Classroom,34,77.7,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0233,Employee_233,Sales,Manager,Data Science Certification,2025-06-18,2025-07-10,Not Started,Hybrid,32,84.89,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0234,Employee_234,Marketing,Engineer,Technical Upskilling,2025-05-10,2025-05-27,Not Started,Classroom,25,67.29,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0235,Employee_235,Sales,Engineer,Soft Skills Workshop,2025-07-15,2025-07-30,In Progress,Classroom,23,94.51,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0236,Employee_236,IT,Executive,Technical Upskilling,2025-08-01,2025-08-11,Completed,Classroom,27,84.46,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0237,Employee_237,Marketing,Consultant,Leadership Training,2025-05-31,2025-06-10,Completed,Hybrid,28,62.95,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0238,Employee_238,Sales,Manager,Project Management,2025-06-17,2025-06-23,In Progress,Online,28,79.86,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0239,Employee_239,Operations,Analyst,Data Science Certification,2025-08-23,2025-09-13,In Progress,Hybrid,5,91.68,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0240,Employee_240,Finance,Analyst,Soft Skills Workshop,2025-08-14,2025-09-05,In Progress,Hybrid,19,50.19,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0241,Employee_241,Marketing,Analyst,Data Science Certification,2025-10-14,2025-11-01,Not Started,Hybrid,3,65.19,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0242,Employee_242,Finance,Engineer,Soft Skills Workshop,2025-07-24,2025-08-03,Completed,Hybrid,21,59.04,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0243,Employee_243,Finance,Executive,Project Management,2025-05-26,2025-06-01,In Progress,Classroom,15,60.71,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0244,Employee_244,IT,Consultant,Leadership Training,2025-09-07,2025-09-16,In Progress,Classroom,40,96.3,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0245,Employee_245,IT,Manager,Data Science Certification,2025-04-29,2025-05-10,Completed,Classroom,4,78.28,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0246,Employee_246,HR,Executive,Project Management,2025-09-05,2025-09-27,Completed,Hybrid,21,62.87,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0247,Employee_247,IT,Executive,Compliance Training,2025-06-17,2025-06-19,Not Started,Classroom,29,63.32,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0248,Employee_248,HR,Manager,Data Science Certification,2025-05-27,2025-06-26,In Progress,Online,12,87.22,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0249,Employee_249,Finance,Manager,Technical Upskilling,2025-10-03,2025-10-04,In Progress,Classroom,23,79.19,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0250,Employee_250,Operations,Engineer,Compliance Training,2025-07-06,2025-08-05,Not Started,Hybrid,33,70.11,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0251,Employee_251,Sales,Consultant,Data Science Certification,2025-07-07,2025-07-28,In Progress,Hybrid,33,77.39,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0252,Employee_252,Finance,Manager,Leadership Training,2025-06-10,2025-06-22,Not Started,Online,11,58.81,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0253,Employee_253,IT,Manager,Soft Skills Workshop,2025-10-03,2025-10-23,In Progress,Classroom,39,56.44,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0254,Employee_254,Sales,Manager,Compliance Training,2025-05-11,2025-05-20,In Progress,Online,6,70.1,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0255,Employee_255,HR,Assistant,Compliance Training,2025-05-10,2025-05-15,Not Started,Hybrid,33,60.5,No,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0256,Employee_256,IT,Consultant,Project Management,2025-04-26,2025-05-04,In Progress,Online,9,77.12,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0257,Employee_257,Finance,Engineer,Leadership Training,2025-07-11,2025-07-21,Completed,Hybrid,11,76.32,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0258,Employee_258,Marketing,Engineer,Soft Skills Workshop,2025-07-04,2025-07-20,In Progress,Classroom,3,79.58,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0259,Employee_259,Marketing,Engineer,Project Management,2025-08-28,2025-09-10,In Progress,Hybrid,28,91.47,Yes,4,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0260,Employee_260,Finance,Executive,Data Science Certification,2025-06-20,2025-06-27,Not Started,Hybrid,20,53.27,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0261,Employee_261,Marketing,Assistant,Leadership Training,2025-10-03,2025-10-17,Not Started,Hybrid,14,94.55,Yes,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0262,Employee_262,Operations,Consultant,Soft Skills Workshop,2025-07-31,2025-08-20,Completed,Online,28,82.92,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0263,Employee_263,Marketing,Analyst,Project Management,2025-07-15,2025-08-12,Not Started,Hybrid,25,84.82,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0264,Employee_264,Operations,Manager,Compliance Training,2025-08-10,2025-08-27,Completed,Hybrid,9,83.87,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0265,Employee_265,Operations,Consultant,Technical Upskilling,2025-09-08,2025-09-13,Completed,Classroom,9,56.72,No,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0266,Employee_266,Operations,Executive,Leadership Training,2025-06-22,2025-06-23,Not Started,Classroom,28,95.48,Yes,1,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0267,Employee_267,Sales,Assistant,Data Science Certification,2025-09-27,2025-10-22,Completed,Classroom,16,92.25,No,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0268,Employee_268,HR,Executive,Project Management,2025-06-05,2025-06-17,In Progress,Classroom,7,61.5,No,2,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0269,Employee_269,Finance,Analyst,Leadership Training,2025-06-05,2025-06-12,In Progress,Classroom,32,75.5,Yes,5,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0270,Employee_270,Operations,Executive,Leadership Training,2025-07-14,2025-07-22,Not Started,Online,4,79.53,Yes,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
EMP0271,Employee_271,Sales,Assistant,Leadership Training,2025-09-01,2025-09-12,Completed,Online,23,67.64,No,3,,Workforce,Training & Upskilling,Talent Management & Talent Acquisition,Training & Upskilling
